Round,Num.,Drafted By,Player,Pos,Drafted From,GP,G,A,Pts,PIM,Last Season
6,158,Arizona,Patrick Kudla,D,Oakville Blades [OJHL],,,,,,
6,159,Buffalo,Brandon Hagel,L,Red Deer Rebels [WHL],212,65,68,133,96,2023-24
6,160,Montreal,Michael Pezzetta,L,Sudbury Wolves [OHL],114,12,14,26,158,2022-23
6,161,Colorado,Nathan Clurman,D,Culver Academy (H.S.),,,,,,
6,162,New Jersey,Jesper Bratt,L,AIK [Swe-1],391,104,175,279,62,2023-24
6,163,Ottawa,Markus Nurmi,R,TPS Jrs (Finland),,,,,,
6,164,Carolina,Noah Carroll,D,Guelph Storm [OHL],,,,,,
6,165,Boston,Oskar Steen,C,Farjestad Jrs (Sweden),26,3,4,7,8,2022-23
6,166,Calgary,Matthew Phillips,R,Victoria Royals [WHL],4,0,0,0,2,2023-24
6,167,Detroit,Filip Larsson,G,Djurgarden Jrs (Sweden),,,,,,
6,168,Nashville,Konstantin Volkov,G,SKA Jrs (Russia),,,,,,
6,169,Philadelphia,Tanner Laczynski,C,Lincoln Stars [USHL],38,2,2,4,2,2022-23
6,170,NY Islanders,Collin Adams,L,Muskegon Lumberjacks [USHL],,,,,,
6,171,NY Rangers,Gabriel Fontaine,C,Rouyn-Noranda Huskies [QMJHL],,,,,,
6,172,Philadelphia,Anthony Salinitri,L,Sarnia Sting [OHL],,,,,,
6,173,Chicago,Blake Hillman,D,U. of Denver [NCHC],4,1,0,1,0,2017-18
6,174,NY Rangers,Tyler Wall,G,Leamington (GOJHL),,,,,,
6,175,Florida,Maxim Mamin,C,CSKA Moscow [KHL],73,10,8,18,25,2021-22
6,176,Dallas,Jakob Stenqvist,D,MODO Jrs (Sweden),,,,,,
6,177,Washington,Chase Priskie,D,Quinnipiac University [ECAC],4,0,0,0,2,2021-22
6,178,Tampa Bay,Oleg Sosunov,D,Yaroslavl Jrs (Russia),,,,,,
6,179,Toronto,Nicolas Mattinen,D,London Knights [OHL],,,,,,
6,180,San Jose,Mark Shoemaker,D,North Bay Battalion [OHL],,,,,,
6,181,Pittsburgh,Joe Masonius,D,U. of Connecticut [H-East],,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,182,Toronto,Nikolai Chebykin,L,MVD Jrs (Russia),,,,,,
7,183,Edmonton,Vincent Desharnais,D,Providence College [H-East],37,0,5,5,36,2023-24
7,184,Vancouver,Rodrigo Abols,C,Portland Winterhawks [WHL],,,,,,
7,185,Columbus,Calvin Thurkauf,C,Kelowna Rockets [WHL],3,0,0,0,0,2019-20
7,186,Calgary,Stepan Falkovsky,D,Ottawa 67's [OHL],,,,,,
7,187,Montreal,Arvid Henrikson,D,AIK Jrs (Sweden),,,,,,
7,188,Arizona,Dean Stewart,D,Portage Terriers [MJHL],,,,,,
7,189,Buffalo,Austin Osmanski,D,Mississauga Steelheads [OHL],,,,,,
7,190,Buffalo,Vasili Glotov,C,SKA Jrs (Russia),,,,,,
7,191,Colorado,Travis Barron,L,Ottawa 67's [OHL],,,,,,
7,192,New Jersey,Jeremy Davies,D,Bloomington Thunder [USHL],23,0,3,3,12,2022-23
7,193,NY Islanders,Nick Pastujov,L,U.S. National Development Team [USHL],,,,,,
7,194,Vancouver,Brett McKenzie,L,North Bay Battalion [OHL],,,,,,
7,195,Florida,Benjamin Finkelstein,D,Kimball Union (H.S.),,,,,,
7,196,Minnesota,Dmitry Sokolov,R,Sudbury Wolves [OHL],,,,,,
7,197,Detroit,Mattias Elfstrom,L,Malmo Jrs (Sweden),,,,,,
7,198,Nashville,Adam Smith,D,Bowling Green State University [WCHA],,,,,,
7,199,Philadelphia,David Bernhardt,D,Djurgarden Jrs (Sweden),,,,,,
7,200,NY Islanders,David Quenneville,D,Medicine Hat Tigers [WHL],,,,,,
7,201,NY Rangers,Ty Ronning,R,Vancouver Giants [WHL],,,,,,
7,202,Los Angeles,Jacob Friend,D,Owen Sound Attack [OHL],,,,,,
7,203,Chicago,Jake Ryczek,D,Waterloo Black Hawks [USHL],,,,,,
7,204,Minnesota,Braydyn Chizen,D,Kelowna Rockets [WHL],,,,,,
7,205,Anaheim,Tyler Soy,C,Victoria Royals [WHL],,,,,,
7,206,Tampa Bay,Otto Somppi,C,Halifax Mooseheads [QMJHL],,,,,,
7,207,Washington,Dmitriy Zaitsev,D,Wilkes-Barre/Scranton Knights [NAHL],,,,,,
7,208,Tampa Bay,Ryan Lohin,C,Waterloo Black Hawks [USHL],,,,,,
7,209,St. Louis,Nikolaj Krag-Christensen,C,Rodovre Mighty Bulls [Denmark],,,,,,
7,210,San Jose,Joachim Blichfeld,L,Malmo Jrs. (Sweden),8,1,0,1,14,2020-21
7,211,St. Louis,Filip Helt,L,Litvinov Jrs (Czech Rep.),,,,,,
